36;63;2
36;102;178
36;107;1302
36;117;517
36;144;738
62;62;59
62;63;493
62;96;584
62;107;436
62;127;102
62;155;423
63;62;572
63;96;104
63;102;2301
63;107;2561
63;117;467
63;127;239
63;144;18
63;155;48
96;62;442
96;63;103
96;107;266
96;155;432
102;36;155
102;63;33
102;63;2295
102;107;61
102;117;39
102;117;1839
102;144;19
106;107;591
107;36;1211
107;62;425
107;63;2317
107;96;303
107;102;30
107;106;572
107;107;27
107;117;1
107;155;172
117;36;822
117;63;625
117;102;23
117;102;1886
117;107;4
117;117;53
117;144;19
117;144;600
127;62;74
127;63;349
144;36;475
144;63;5
144;63;23
144;102;20
144;107;1
144;117;626
155;62;408
155;63;114
155;96;399
155;107;145
36;102;103
36;106;136
36;107;1241
36;117;107
36;144;367
62;63;607
62;96;299
62;107;343
62;127;184
62;155;503
63;62;652
63;96;60
63;102;1582
63;107;2845
63;117;169
63;127;477
63;144;24
63;155;115
96;62;363
96;63;58
96;107;158
96;155;347
102;36;97
102;63;1802
102;117;1910
102;144;34
106;36;126
106;107;866
107;36;1135
107;62;372
107;63;2754
107;96;195
107;106;811
107;107;24
107;155;129
117;36;132
117;63;84
117;102;1970
117;117;26
117;144;734
127;62;211
127;63;498
144;36;367
144;63;48
144;102;51
144;117;756
155;62;479
155;63;117
155;96;346
155;107;120
36;63;49
36;102;3
36;106;127
36;107;1308
36;117;72
62;36;1
62;63;413
62;96;292
62;107;464
62;127;298
62;155;529
63;36;1
63;62;420
63;96;57
63;102;1258
63;107;49
63;107;3114
63;117;209
63;127;361
63;155;98
96;62;323
96;63;41
96;107;212
96;155;350
102;36;7
102;63;1144
102;107;45
102;117;2314
102;144;24
106;36;105
106;107;844
107;36;1258
107;62;465
107;63;65
107;63;3196
107;96;224
107;106;808
107;127;3
107;155;119
117;36;100
117;63;167
117;102;2463
117;107;6
117;117;51
117;144;852
127;36;2
127;62;249
127;63;446
144;36;28
144;63;45
144;102;37
144;117;833
155;62;482
155;63;120
155;96;364
155;107;113
36;106;348
36;107;1792
36;127;80
62;63;609
62;96;345
62;107;745
62;127;127
62;155;630
63;62;581
63;96;112
63;102;1548
63;107;3534
63;117;178
63;127;239
63;155;90
96;62;355
96;63;104
96;107;239
96;155;408
102;63;1325
102;117;44
102;117;2830
102;144;32
106;36;370
106;107;937
106;127;19
107;36;1662
107;62;777
107;63;3347
107;96;238
107;106;922
107;127;9
107;155;154
117;63;238
117;102;2914
117;117;43
117;144;1081
127;36;132
127;62;98
127;63;269
127;106;33
127;107;10
144;63;76
144;102;50
144;117;1089
155;62;605
155;63;116
155;96;394
155;107;162
36;106;243
36;107;1510
36;127;615
62;62;1
62;63;910
62;96;357
62;107;1457
62;155;602
63;62;1040
63;96;120
63;102;1365
63;107;2576
63;117;387
63;155;111
96;62;373
96;63;156
96;107;242
96;155;406
102;63;1312
102;110;36
102;117;2882
102;144;45
106;36;215
106;107;1052
106;127;91
107;36;1490
107;62;1501
107;63;2758
107;96;294
107;106;1080
107;127;37
107;155;140
110;63;64
117;63;336
117;102;3030
117;110;28
117;117;41
117;144;41
117;144;1202
127;36;653
127;106;98
127;107;80
144;63;57
144;102;67
144;110;2
144;117;1171
155;62;574
155;63;141
155;96;351
155;107;116
36;106;183
36;107;1605
36;127;682
62;63;484
62;96;424
62;107;1321
62;155;654
63;62;454
63;96;94
63;102;2186
63;107;2295
63;117;321
63;155;111
96;62;443
96;63;112
96;107;264
96;155;408
98;117;119
98;117;446
102;63;1786
102;117;2573
102;144;43
106;36;185
106;107;1030
106;127;82
107;36;1549
107;62;1412
107;63;2283
107;96;284
107;106;1101
107;127;38
107;155;156
117;63;377
117;98;183
117;98;613
117;102;2960
117;144;1075
127;36;637
127;106;67
127;107;49
144;63;84
144;102;43
144;117;1208
155;62;582
155;63;118
155;96;352
155;107;148
36;106;138
36;107;1754
36;127;746
48;63;11
48;107;440
62;63;405
62;78;41
62;96;8
62;96;645
62;107;1389
62;155;15
62;155;1105
63;48;34
63;62;467
63;96;282
63;102;2591
63;107;2714
63;117;417
63;155;233
96;62;850
96;63;263
96;107;455
96;155;2
96;155;436
98;98;48
98;117;47
98;117;1351
102;63;2454
102;107;3
102;107;108
102;117;3067
102;144;89
106;36;138
106;107;1137
106;127;139
107;36;78
107;36;1593
107;48;500
107;62;19
107;62;1285
107;63;23
107;63;49
107;63;2462
107;96;14
107;96;510
107;106;1154
107;107;60
107;127;9
107;127;207
107;155;2
107;155;265
117;63;208
117;98;1393
117;102;3173
117;107;1
117;117;38
117;144;1319
127;36;14
127;36;750
127;106;168
127;107;257
144;63;84
144;102;51
144;117;1243
155;62;1029
155;63;260
155;96;447
155;107;232
36;106;117
36;107;1753
36;116;650
36;117;195
36;127;948
36;144;759
48;63;65
48;107;935
62;63;319
62;96;332
62;107;1596
62;155;627
63;48;36
63;62;297
63;96;175
63;102;471
63;107;3710
63;116;14
63;117;27
63;155;180
96;62;392
96;63;193
96;107;318
96;155;350
98;117;1302
102;63;586
102;117;3199
102;144;24
106;36;96
106;107;995
106;127;134
107;36;3
107;36;1695
107;48;1035
107;62;1592
107;63;44
107;63;3312
107;96;368
107;106;975
107;116;32
107;127;301
107;155;144
116;36;677
116;107;3
117;36;230
117;63;47
117;98;1226
117;102;3235
117;144;1195
127;36;893
127;106;167
127;107;323
144;36;669
144;63;39
144;102;8
144;117;1231
155;62;709
155;63;184
155;96;360
155;107;144
36;61;18
36;106;73
36;107;1674
36;116;1035
36;127;919
36;144;1092
36;155;1046
48;63;8
48;107;1394
62;63;503
62;96;435
62;107;1793
62;155;494
63;48;10
63;62;469
63;96;188
63;107;4329
63;155;58
96;62;397
96;63;232
96;107;290
96;155;262
98;117;1280
102;117;2429
106;36;46
106;107;57
106;107;923
106;127;216
107;36;1708
107;48;1318
107;61;103
107;62;1741
107;63;4002
107;96;313
107;106;978
107;127;398
107;155;158
116;36;1097
117;98;1390
117;102;2384
117;144;1195
127;36;989
127;61;23
127;106;245
127;107;311
144;36;954
144;117;1274
155;36;1145
155;62;503
155;63;80
155;96;235
155;107;144
32;115;182
36;36;58
36;106;114
36;107;1723
36;116;1302
36;117;62
36;127;1166
36;144;1214
36;155;1139
48;63;22
48;107;46
48;107;1427
54;115;232
62;36;17
62;63;687
62;96;310
62;107;33
62;107;1768
62;115;5
62;155;542
63;48;20
63;62;600
63;96;139
63;107;4559
63;155;60
86;115;99
96;62;285
96;63;198
96;107;255
96;115;2
96;155;222
98;117;1521
102;117;2923
106;36;123
106;107;1202
106;127;377
107;32;8
107;36;74
107;36;1764
107;48;22
107;48;1476
107;62;39
107;62;1848
107;63;56
107;63;4385
107;96;272
107;106;1147
107;107;65
107;115;536
107;127;413
107;155;154
115;32;132
115;54;259
115;62;9
115;86;114
115;107;579
116;36;1283
116;107;50
117;98;1546
117;102;2670
117;144;1391
127;36;1057
127;106;410
127;107;491
144;36;1111
144;117;1432
155;36;1138
155;62;511
155;63;82
155;96;196
155;107;148
28;115;53
32;54;43
32;63;728
32;115;1047
34;55;6
34;66;45
34;67;73
36;106;15
36;107;92
36;107;1345
36;116;1251
36;127;827
36;144;1228
36;155;1503
48;63;5
48;107;34
48;107;576
54;115;2002
55;34;6
55;66;15
55;67;104
55;113;2
55;124;141
55;157;171
62;63;121
62;96;564
62;107;54
62;107;1889
62;115;82
63;32;695
63;48;13
63;54;34
63;62;170
63;107;50
63;107;2853
66;34;40
66;55;29
66;67;1
66;113;6
67;34;64
67;55;89
86;107;1
86;115;914
96;32;18
96;62;57
96;62;757
96;63;3
96;107;22
96;107;311
96;115;66
98;98;36
98;117;24
98;117;1230
102;102;34
102;117;19
102;117;2249
106;36;8
106;107;62
106;107;974
106;127;241
107;32;3
107;36;30
107;36;1150
107;48;55
107;48;653
107;61;32
107;62;1706
107;63;39
107;63;2968
107;96;525
107;106;75
107;106;878
107;115;2916
107;127;29
107;127;257
107;143;50
113;34;2
113;55;16
113;66;10
115;28;38
115;32;1039
115;54;1953
115;62;128
115;86;894
115;96;128
115;107;2950
116;36;1326
117;98;1144
117;102;2177
117;117;48
117;144;1194
124;55;137
127;36;50
127;36;749
127;61;23
127;106;270
127;107;215
144;36;1143
144;117;1293
155;36;1521
157;55;151
28;115;825
32;115;928
34;55;4
34;66;54
34;67;41
36;106;99
36;107;1540
36;116;50
36;116;1307
36;127;933
36;144;1267
36;155;1644
48;107;84
54;115;2215
55;34;5
55;66;48
55;67;34
55;113;1
55;124;70
55;157;136
62;36;23
62;96;455
62;107;201
62;107;1448
62;115;42
63;62;47
63;107;1967
66;34;31
66;55;17
66;67;36
66;113;7
67;34;30
67;55;68
83;115;416
86;115;794
96;62;246
96;62;392
96;107;146
96;107;238
96;115;34
98;117;1201
102;117;2157
106;36;36
106;107;1039
106;127;388
107;36;10
107;36;1547
107;48;17
107;48;52
107;62;43
107;62;1530
107;63;1727
107;96;498
107;106;1117
107;115;79
107;115;2792
107;127;114
113;34;2
113;55;1
113;66;10
115;28;765
115;32;971
115;54;2179
115;62;170
115;83;565
115;86;803
115;96;76
115;107;52
115;107;3110
116;36;1448
117;98;1250
117;102;2068
117;144;1085
124;55;85
127;36;955
127;106;419
127;107;129
144;36;1034
144;117;1382
155;36;1669
157;55;166
